file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0310_0729_4634343_to_4637349,གལ་སྲིད་ངས་ཡག་པོ་སྦྱང་ཡོད་ན་ང་དཔེ་བལྟ་དགོས་འཁེལ་གི་མ་རེད་ད་ལབ་ཡ་ཅིག་ཡོད་རཱ།  ,gal srid ngas yag po sbyang yod na nga dpe blta dgos 'khel gi ma red da lab ya cig yod rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0310_0729_4634343_to_4637349.wav,STT_NS,3,77,3.006,wav16k/STT_NS_M0310_0729_4634343_to_4637349.wav,གལ་སྲིད་ངས་ཡག་པོ་སྦྱང་ཡོད་ན་ང་དཔེ་བལྟ་དགོས་འཁེལ་གི་མ་རེད་ད་ལབ་ཡ་ཅིག་ཡོད་རཱ།
STT_NS_M0239_0166_1906203_to_1909701,ཨ་ནས་རྒྱལ་པོ་གི་ན་བཟའ་ག་འདྲའི་མཆོད་ཀྱི་ཡོད་མེད། ཨ་ནས་རྒྱལ་པོ་རྒྱལ་ཁང་ནང་ལོགས་ལ་ཨ་ནས་ ,a nas rgyal po gi na bza' ga 'dra'i mchod kyi yod med/_a nas rgyal po rgyal khang nang logs la a nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0239_0166_1906203_to_1909701.wav,STT_NS,3,85,3.498,wav16k/STT_NS_M0239_0166_1906203_to_1909701.wav,ཨེ་ནས་རྒྱལ་པོ་གིས་ལ་བཟའ་ག་འདྲའི་མཆོད་ཀི་ཡོད་མེད། ཨེ་ནས་རྒྱལ་པོ་རྒྱལ་ཁང་ནང་ལོགས་ལ་ཨེ་ནས།
STT_NS_M0239_0167_1917465_to_1921390,བརྙན་ཐུང་སྤྲད་ལྟད་མོ་ལྟ་ནས་ཀི་ང་ཚོ་གི་ཐ་ཨེ་འདྲའི་འདྲ་བོ་གི་ང་ཚོ་གིས་ད་ ,brnyan thung sprad ltad mo lta nas ki nga tsho gi tha e 'dra'i 'dra bo gi nga tsho gis da _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0239_0167_1917465_to_1921390.wav,STT_NS,3,71,3.925,wav16k/STT_NS_M0239_0167_1917465_to_1921390.wav,བརྙན་ཐུང་སྤྲད་ལྟད་མོ་བལྟ་ནས་སྐྱས་ང་ཚོ་གི་ད་ཨེ་འདྲའི་འདྲ་བོ་གི་ང་ཚོ་གི་ད།
STT_TT00402_505.400-507.400,སློབ་གྲྭར་ཚུད་ཚར་སོང་ན། ཁོས་སློབ་སྦྱོང་ཡག་པོ་ཅིག་བྱེད།  ,slob grwar tshud tshar song na/_khos slob sbyong yag po cig byed/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00402_505.400-507.400.wav,STT_TT,3,56,2.0,wav16k/STT_TT00402_505.400-507.400.wav,སློབ་གྲྭར་ཚུད་ཚར་སོང་ན། ཁོས་སློབ་སྦྱོང་ཡག་པོ་ཅིག་བྱས།
STT_TT00654_0226_2062540_to_2064940,གཏི་མུག མངོན་འགྱུར་བ་འདི་གིས། གཏི་མུག་གི་བག་ཆགས་ ,gti mug_mngon 'gyur ba 'di gis/_gti mug gi bag chags _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00654_0226_2062540_to_2064940.wav,STT_TT,3,49,2.4,wav16k/STT_TT00654_0226_2062540_to_2064940.wav,གཏི་མུག་མངོན་གྱུར་བ་དེ་གིས། གཏི་མུག་གི་བག་ཆགས།
STT_NS_M0239_0134_1532858_to_1539172,དགོངས་དག་ཀུ་ཅི། ད་ཁྱོད་ང་ལ་ད་གོ་སྐབས་གཅིག ད་མི་ལབ་ཡ་དེ་ནོར་འཁྲུལ་ཤོར་གྱི་རེད། ཨ་ནས་ང་ལ་གོ་སྐབས་གཅིག་སྤྲད་དང་ལབ་ནས་ཡ་ཡུད་འདར་གྱི་འདུག་ད།  ,dgongs dag ku ci/_da khyod nga la da go skabs gcig_da mi lab ya de nor 'khrul shor gyi red/_a nas nga la go skabs gcig sprad dang lab nas ya yud 'dar gyi 'dug da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0239_0134_1532858_to_1539172.wav,STT_NS,3,137,6.314,wav16k/STT_NS_M0239_0134_1532858_to_1539172.wav,དགོང་དག་ཀུ་ཅི་ད་ཁོས་ང་ལ་ད་གོ་སྐབས་གཅིག་ད་མི་ལབ་ཡ་དེ་ནོར་འཁྲུལ་ཤོར་གི་རེད། ཨེ་ནས་ང་ལ་གོ་སྐབས་གཅིག་སྤྲད་དང་ལབ་ནས་ཡ་ཡུད་འདར་གྱི་འདུག་ད།
STT_TT00654_0211_1941015_to_1943191,ཨ། ད་གང་ལྟར་ཉོན་མོངས་པའི་བློ་སྐྱེ་ཡོང་དུས།  ,a/_da gang ltar nyon mongs pa'i blo skye yong dus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00654_0211_1941015_to_1943191.wav,STT_TT,3,44,2.176,wav16k/STT_TT00654_0211_1941015_to_1943191.wav,ཨ། ད་གང་ལྟར་ཉོན་མོངས་པའི་བློ་སྐྱེ་ཡོང་དུས།
STT_TT00668_0457_4304854_to_4309052,རང་རྒྱལ་ལ། དེ་འགྲིག་པ་བྱས། ད་དེ་ནས། འདིའི་གཞུག་གུ་དེ་ལ། ཤོག་གུ་བདུན་པ།  ,rang rgyal la/_de 'grig pa byas/_da de nas/_'di'i gzhug gu de la/_shog gu bdun pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00668_0457_4304854_to_4309052.wav,STT_TT,3,72,4.198,wav16k/STT_TT00668_0457_4304854_to_4309052.wav,རང་གི་ལ་དེ་འགྲིག་པ་བྱས། ད་དེ་ནས་འདིའི་གཞུག་གུ་དེ་ལ་ ཤོག་གུ་བདུན་པ།
STT_TT00654_0233_2102703_to_2105007,སྤངས་མ་ཐུབ་ན་ཡང་། ཉུང་ཙམ་བྱེད་ལབ་ཡ་དེ།  ,spangs ma thub na yang /_nyung tsam byed lab ya de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00654_0233_2102703_to_2105007.wav,STT_TT,3,40,2.304,wav16k/STT_TT00654_0233_2102703_to_2105007.wav,སྤང་མ་ཐུབ་ན་ཡང་། ཉུང་ཙམ་བྱེད་ལབ་ཡ་དེ།
STT_TT00444_759.000-761.100,དེ་འདྲའི་ཞབས་བརྟན་བྱེད་ཡ་གི་ཟོལ་འདྲ། དེ་འདྲའི་ཅིག་མ་གཏོགས།  ,de 'dra'i zhabs brtan byed ya gi zol 'dra/_de 'dra'i cig ma gtogs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00444_759.000-761.100.wav,STT_TT,3,60,2.1000000000000227,wav16k/STT_TT00444_759.000-761.100.wav,དེ་འདྲའི་ཞབས་བརྟན་བྱེད་ཡ་གི་ཟོལ། དེ་འདྲའ་ཅིག་མ་གཏོགས།
